date	title	trend
2018-02-15	bank bans credit card for bitcoin	1
2017-12-01	bank of canada starts talking risk merits of digital currency	1
2017-12-07	bank of chile enters debate on criptomonedas and recommended its workers not to invest in them	1
2018-02-15	bank of england calls for end to bitcoin 'anarchy'	1
2017-03-18	bank of england pairs up with specialist in bitcoin's blockchain	0
2017-01-13	bank warns of bitcoin volatility	1
2017-11-28	bankers economists warn on dangers of bitcoin usage	1
2017-05-17	banks can profit from digital id movement (even if they don't control it)	1
2017-09-05	barbarians at the monetary gate	1
2018-02-11	baroness blockchain... i miss my bra firm but now i'll make money;  interview	0
2017-08-17	baroness banks on bitcoin for sale of luxury homes	0
2017-08-11	be wary of digital token investments: police mas	1
2017-12-09	beware geeks bearing bit(coin)s;   secretive digital currency could be huge asset bubble	0
2018-01-08	beware of the media inflating the bitcoin bubble	0
2018-01-30	beware risks of bitcoin	0
2017-12-11	beware the bitcoin bubble	1
2017-11-28	beware the rush into bitcoin pot; cryptocurrency legalization fraught with risk	1
2017-01-06	beware buyers: bitcoin could pick your pockets;  the city view	0
2018-02-11	beware: bitcoin bubble will burst	0
2017-05-30	bhopal: 'eternalrocks'might be the next big cyber attack worldwide	1
2017-05-19	bhopal: cyber attack cripples 300 systems in bhopal	1
2017-05-17	bhopal: expert's tips to prevent 'wannacry' attack	1
2017-06-30	bhopal: petya malware more dangerous than wanna cry ransomware	0
2017-09-19	big banks looking at own forms of bitcoin;  blockchains the drawcard	0
2017-12-11	big changes coming as bitcoin futures trading exchange-traded funds launch	1
2017-12-21	big flow from bitcoin to bitcoin cash	0
2017-06-09	big gains big risks in bitcoins;  this year's best-performing investments are crypto-currencies but the price swings are wild	1
2017-01-06	biggest fall in bitcoin blamed on the chinese	0
2017-11-12	bill miller is staging a wall street comeback	0
2017-06-06	billionaire draper shuns china investments amid capital controls	0
2017-12-23	billions lost as bitcoin plummets;  two exchanges suspend trading in digital currency's futures	1
2017-06-05	bit boom	1
2018-01-24	bitflyer obtains approval for european launch;  currency	1
2017-08-11	bitbay to launch cryptocurrency trading platform in india	1
2017-11-16	bitcoin	1
2017-12-09	bitcoin 'could reach $us60000'	0
2018-02-27	bitcoin 'inventor' accused of $5bn fraud and forgery	1
2017-11-15	bitcoin 'no threat to gold's tactile allure' metals newcrest sees bright future	1
2017-11-15	bitcoin 'no threat to gold's tactile allure';  metals newcrest sees bright future	1
2017-11-13	bitcoin 'not ideal' as long-term investment says research paper	1
2018-01-30	bitcoin - is it really a good investment?	0
2017-09-17	bitcoin ... way to future or path to financial ruin?	1
2017-09-01	bitcoin atms in philly take cryptocurrency to masses;  the machines take regular cash and credit bitcoin accounts that can be used for online transactions.;  digital currency	0
2018-03-08	bitcoin and cryptocurrency news and trends	0
2017-11-12	bitcoin cash price skyrockets as bitcoin plummets - what you need to know;  bitcoin meanwhile is now down to around $6000 from $7800	0
2017-11-28	bitcoin clears $10000; crypto stocks are volatile	1
2017-12-07	bitcoin clears $12000 $13000 $14000 in less than 24 hours	1
2018-02-09	bitcoin comes to campus	1
2017-07-20	bitcoin community cheers as miners back new scaling framework	0
2018-03-06	bitcoin crashes below $11000 as china talks tougher on regulation	0
2018-01-16	bitcoin crashes toward $10000 as south korea trading ban a 'live option'	0
2017-09-12	bitcoin dives again: btcchina to halt trades; china shutdown 'certain'	0
2018-01-08	bitcoin dives as cryptocurrency's top market is doing this to curb speculation	0
2017-12-22	bitcoin drops below $13000	0
2018-03-08	bitcoin evolution meet aml bitcoin revolution	0
2017-12-09	bitcoin evolution; big changes coming with great anticipation of trading futures etfs for cryptocurrency	0
2017-07-27	bitcoin exchange was nexus of crime indictment says	1
2017-07-27	bitcoin exchange was a nexus of crime indictment says	1
2017-05-17	bitcoin exchange zebpay reaches 500000 downloads mark	1
2017-11-08	bitcoin expansion is off the table. at least for now.	1
2017-12-30	bitcoin falls below $13000 but this crypto coin keeps rising	0
2017-12-15	bitcoin futures jump above $18000 ahead of cme's launch	1
2017-12-11	bitcoin futures set scene for more gambling;  breakingviews	1
2017-12-11	bitcoin futures soar in debut; these crypto stock plays jump	1
2017-12-11	bitcoin futures surge above $18000 in cboe trading debut	1
2017-12-04	bitcoin futures trading to start even sooner; these brokers are ready	1
2017-12-09	bitcoin gets degeeked; big changes coming as bitcoin futures trading etfs launch	0
2017-12-09	bitcoin getsdegeeked; big changes coming as bitcoin futures trading etfs launch	0
2017-12-06	bitcoin hasn't replaced cash but investors don't care	1
2017-12-07	bitcoin hasn't replaced cash but to investors it's as good as gold	1
2017-12-06	bitcoin hasn’t replaced cash but investors don’t care	1
2018-01-05	bitcoin jumps ethereum hits a high visa suspends crypto debit cards	1
2018-02-15	bitcoin mining is hindering the search for alien life	1
2018-02-12	bitcoin nears $9000 despite 'high risk' warning from european regulators	1
2017-07-24	bitcoin options to become available in fall after cftc approval	0
2017-11-02	bitcoin pares gains; facebook jumps; dividend play near buy?	1
2017-12-22	bitcoin plummets more than 30 percent in less than a day	0
2017-12-28	bitcoin plunges as south korea regulatory crackdown looms	0
2017-01-03	bitcoin price soars fueled by speculation and global currency turmoil	1
2017-08-10	bitcoin price surges after agreement on software update	1
2018-02-15	bitcoin price tops $10000; ibm warns on overregulation	1
2017-12-26	bitcoin rebounds after last week's meltdown; ethereum litecoin up	1
2017-11-13	bitcoin rebounds from upgrade delay; cme updates futures launch	1
2017-11-08	bitcoin reliance - rbz loses out on interest rates	1
2018-01-22	bitcoin renews sell-off as south korea clamps down	0
2017-12-07	bitcoin screams to record highs in wild trading session	1
2017-07-21	bitcoin soars as upgrade backers hoist beers to armistice (1)	1
2018-02-21	bitcoin sold for free briefly; price retreats back below $11000	0
2017-07-24	bitcoin split is nothing to fear for investors: aaron brown	0
2017-12-22	bitcoin suffers worst weekly loss since 2013	0
2017-12-06	bitcoin surpasses $12000 despite central banks' warning	1
2018-02-18	bitcoin thieves threaten real violence for virtual currencies	0
2017-12-04	bitcoin to debut on wall street; 2 u.s. exchanges get green light for digital currency's new futures	1
2017-12-20	bitcoin tumbles as coinbase resumes bitcoin cash trades amid probe	0
2018-01-20	bitcoin turns best gift for investors to escape tax net	1
2017-12-07	bitcoin a 'bubble' like myspace: rogoff	1
2017-12-04	bitcoin a big bet for the fake-news era;  investments	1
2018-02-14	bitcoin a digital fool's gold	1
2018-01-16	bitcoin and ethereum tumble after renewed fears of regulatory crackdown;  bitcoin hits a four-week low before rebounding on tuesday as south korean statements send cryptocurrency markets yo-yoing	0
2017-09-14	bitcoin and ethereum prices hit on bank chief exec's criticisms	1
2017-09-12	bitcoin and the hard reality of chinese rules;  heard on the street	0
2017-12-23	bitcoin and the value of financial freedom	1
2017-12-06	bitcoin at $12000 but don't cheer; these two signs warn it will fall now;  bitcoin at $12000 but don't cheer; these two signs warn it will fall now-- delivered by feed43 service	1
2018-02-09	bitcoin at center of toledo fake id case	1
2017-07-24	bitcoin backers hoist beers as civil war ends; code upgrade could help provide toehold	0
2017-07-24	bitcoin backers hoist beers as code war ends	0
2017-07-24	bitcoin backers sip beers as code 'impasse'ends	0
2017-07-14	bitcoin banks but with drugs; darknet's alphabay remarkable not for its exit but for its longevity writes elaine ou	0
2017-01-04	bitcoin beats other currencies	1
2017-09-24	bitcoin between promising future and shifting global economy: kuwait experts – 'currency immune to modification by amateur programmers'	1
2017-09-20	bitcoin beyond government control efforts;  cryptocurrencies	0
2017-12-11	bitcoin blows past us$16 000	1
2017-12-09	bitcoin bonanza takes hold	0
2018-02-18	bitcoin bores claim to be saving the world but they're as morally bankrupt as the city boys of old	0
2017-05-22	bitcoin breaches us$2000 outperforming gold by wide margin;  the price has soared by 377 per cent in the past twelve months dealers report	1
2017-05-23	bitcoin breaks another record on anniversary	1
2017-01-04	bitcoin breaks through $1000 b...	1
2017-06-16	bitcoin bubble bursts as cryptocurrency drops nearly 20 per cent	1
2017-06-11	bitcoin bubble is a symptom of strain	0
2017-12-15	bitcoin bubble may burst in 2018 says crypto expert	1
2017-11-13	bitcoin bubble sure to burst;   crypto currencies are becoming part of the financial mainstream but what is their real value asks gareth costa	1
2017-10-08	bitcoin bug bites japanese koreans	1
2017-12-16	bitcoin buys a sumner gelato	1
2017-11-13	bitcoin cash rally briefly sends its market cap above ethereum	1
2017-12-23	bitcoin catches fire in thailand	1
2017-03-24	bitcoin clearly â€¨has still some growing up to doâ€‹	0
2017-03-21	bitcoin climbs back above $1000 after plunging over the weekend	1
2017-01-03	bitcoin climbs back over $1000 as china boosts demand	1
2017-12-22	bitcoin continues to drop after record high	0
2018-02-21	bitcoin could hit $50000 by end of 2018	0
2017-12-01	bitcoin could threaten financial stability: fed governor	1
2017-06-09	bitcoin could turn capitalism on its head;  the cryptocurrency has the potential to bypass governments and the digital media giants	1
2018-01-22	bitcoin crash not a foregone conclusion	0
2017-12-09	bitcoin craze: google gives bitcoin currency status & converter	0
2018-02-19	bitcoin crosses $11000 in india today; recovery on;  bitcoin was trading at $10943.89 in india today on coindesk's bitcoin price index (bpi) at the time of reporting. bitcoin touched a high of $11023.20 earlier in the day. the price of popular digital currency crossed $9000 some days back - a psycholo...	1
2017-12-01	bitcoin derivatives get green light	1
2017-12-04	bitcoin dips below $11000 after setting another record high	1
2017-12-22	bitcoin dives 25% in the nightmare before christmas	0
2017-12-22	bitcoin dives again in the nightmare before christmas	0
2018-02-06	bitcoin dives another 15pc	1
2017-06-16	bitcoin down as much as 19% amid volatility	1
2017-03-12	bitcoin dropped for other currencies	1
2017-10-23	bitcoin drops from new high above $6000	0
2017-09-01	bitcoin edges closer to $4700 after breaking past a new high	0
2018-02-09	bitcoin enthusiasts now looking overseas as regulations tightened	1
2017-08-23	bitcoin erases last week's gains as it tumbles below $4000	1
2018-01-24	bitcoin exchange gets go-ahead	1
2018-01-24	bitcoin exchange is granted licence for its european launch	1
2018-02-14	bitcoin exchanges plan to maintain user database	1
2017-01-13	bitcoin falls after chinese inspection	1
2017-12-20	bitcoin falls almost 20% from recent peak to 1-week low	0
2017-09-14	bitcoin falls as chinese exchange says it will halt trading	1
2017-01-06	bitcoin falls by a fifth after being at all-time high	0
2018-01-16	bitcoin falls to a minimum of 6 weeks after retreat of the cryptocurrencies	0
2018-02-06	bitcoin falls to less than us $ 6000 and loses half of its value so far in 2018	1
2018-02-01	bitcoin falls to two-month lows due to advertising ban on facebook	0
2017-12-16	bitcoin fever no small change for business	1
2018-01-24	bitcoin firm wins backing for launch in europe;  finance	1
2017-06-16	bitcoin forked cryptocurrency loses third of value	1
2017-05-30	bitcoin frenzy continues; broker bonus battle	1
2017-12-19	bitcoin futures decline in debut on second u.s. exchange	0
2017-12-19	bitcoin futures drop in cme debut	0
2017-12-11	bitcoin futures hit u.s. market	1
2017-12-11	bitcoin futures promise wild ride for traders	1
2017-12-11	bitcoin futures start trading in chicago	1
2017-07-27	bitcoin genius kicked council worker in bottom in row over trees;  'deeply ashamed' maths expert did not like personal space being invaded court is told	1
2017-12-20	bitcoin gift of choice for tech savvy indian couple	0
2017-12-23	bitcoin goes on wild ride and it may only get crazier	1
2018-02-09	bitcoin goldrush sees few winners and way too many empty wallets	1
2017-01-05	bitcoin grows as an escapist safe haven	0
2018-02-12	bitcoin hackers 'hijack power of government websites to mine cryptocurrency'	1
2017-09-24	bitcoin has as much monetary backing as the us dollar	1
2018-02-08	bitcoin has lost more than us $ 180000 million in market value in less than two months	1
2018-02-01	bitcoin heading for biggest monthly decline since january 2015	0
2018-03-03	bitcoin heist: iceland computers stolen	1
2017-12-04	bitcoin hides cash from crime	1
2018-02-15	bitcoin hinders the search for aliens	1
2017-11-28	bitcoin hits $10000 for first time amid concern over pricing bubble;  it has raised concerns that investors are over-estimating bitcoin's value	1
2017-12-07	bitcoin hits $17000; now worth more than century-old citigroup;  bitcoin hits $17000; now worth more than century-old citigroup-- delivered by feed43 service	1
2017-12-22	bitcoin hits us$18000 valuable than gold are you too late to invest in cryptocurrencies?	0
2017-11-28	bitcoin hits new peak as bubble fears grow	1
2016-12-23	bitcoin hits new record of $14bn in circulation	1
2017-09-01	bitcoin hits new record but tipped to go higher	0
2017-11-28	bitcoin hits new records heads for $10000 as bubble fears grow	1
2017-05-23	bitcoin hits record $2000 - and rising;  global demand has offset concerns about its use by hackers	1
2017-05-23	bitcoin hits record $2000 and keeps rising	1
2017-05-26	bitcoin hits record high in 'price frenzy'	0
2017-11-02	bitcoin hits the mainstream as cme embraces crypto futures	1
2017-12-22	bitcoin hits the skids; netflixs bright gets dull reviews	0
2017-01-11	bitcoin investigation looks into possibility of fraud	0
2017-12-21	bitcoin investing is morally indefensible	0
2018-02-04	bitcoin investing is sexy. but is risk worth the thrill?	0
2017-11-28	bitcoin investment boom is like no other	1
2017-09-12	bitcoin investors could lose all their money fca warns;  uk financial watchdog spells out risk for those participating in initial coin offerings using cryptocurrencies	0
2017-12-28	bitcoin investors may have to pay capital gains tax	0
2018-02-08	bitcoin is a cryptocurrency at a crossroads; competition rivals are eroding its market share	1
2018-02-08	bitcoin is a cryptocurrency at a crossroads; competition; rivals are eroding its market share	1
2017-09-14	bitcoin is a fraud and i'll sack staff who sell it warns jp morgan chief	1
2017-09-13	bitcoin is a fraud that will blow up says jp morgan boss;  jamie dimon claims cryptocurrency is only fit for use by drug dealers murderers and people living in north korea	0
2017-12-01	bitcoin is a vehicle for fraudsters warns goldman sachs boss	1
2017-11-28	bitcoin is approaching the $10000 in full criptomonedas mania	1
2017-12-28	bitcoin is better off as a payment system than currency	0
2017-12-01	bitcoin is experiencing hyper-deflation;  the lex column	1
2017-12-01	bitcoin is fraudulent investment scheme '	1
2017-09-05	bitcoin is not for us says russia	1
2017-11-06	bitcoin is on the same path as every bubble in history	0
2017-12-01	bitcoin is starting to resemble tulip bulbs in a 17th century dutch market	1
2017-12-21	bitcoin is the 'only game in town' according to this bitcoin broker	0
2017-12-01	bitcoin isn't a bubble - in fact it's just getting started	1
2017-01-03	bitcoin jumps above $1000 for first time in three years	1
2018-02-09	bitcoin latest: russian company launches anxiety helpline for investors amid fluctuating markets	1
2017-06-13	bitcoin loses 14pc after huge surge;  news	0
2017-11-25	bitcoin machine arrives in northern b.c.	1
2017-12-11	bitcoin makes debut on futures market	1
2017-12-16	bitcoin making a major splash but utah analysts warn of possible 'bubble'	1
2017-12-09	bitcoin mania's fever pitch;  skyrocketing values have sparked fears of a bubble akin to the pseudo-internet firms in the late '90s	0
2017-09-03	bitcoin marks the record high at $5000	0
2017-08-11	bitcoin may hit goldman sachs' n1.4m/$ mark before december	1
2017-09-24	bitcoin may splinter off again in november bloomberg	1
2017-11-26	bitcoin mining surpasses electricity consumption of 20 european countries	1
2017-11-13	bitcoin moves smoothly into 'real' cash	1
2017-01-05	bitcoin nears all-time high as it becomes 'safe haven' asset	0
2017-01-06	bitcoin nears all-time high becomes 'safe haven' asset	0
2017-01-06	bitcoin nears record high	0
2017-02-24	bitcoin nears three-year high on approval rumour	1
2017-12-09	bitcoin network 'is using more energy than world can sustain'	0
2017-11-15	bitcoin nominated as the hottest investment of 2017	1
2017-12-04	bitcoin not shariah-compliant 'at this time' says turkish religious authority	1
2017-05-03	bitcoin not a bit player in japan;  the business matrix the day at a glance currency	1
2017-09-12	bitcoin not recognised by bon	0
2017-09-13	bitcoin not to end well: jp morgan chase ceo	0
2017-10-13	bitcoin on the rise	1
2017-05-22	bitcoin options exchange raises $11.4 million in funding	1
2018-03-08	bitcoin options trade at odds with short-term moves	0
2018-02-15	bitcoin or cash: which is worse for the plant?;  outlook	1
2017-01-03	bitcoin over $1000 for first time in three years	1
2018-02-12	bitcoin owners could face massive tax bills under new plans north east accountants warn;  hmrc could target those who have made money from cryptocurrencies if it decides people have been 'trading' in them	1
2018-02-15	bitcoin passes the us $ 10000 barrier driven by measures to make it transparent instead of banning	1
2017-12-01	bitcoin pauses below record peak gained 55 per cent in november	1
2017-12-01	bitcoin pauses below record peak; gains 55% in november	1
2017-09-20	bitcoin platforms in mainland rush to contain damage;  drastic clampdown may broaden as it sparks overhaul of operations amid uncertain future	0
2017-12-23	bitcoin plunge draws bargain hunters;  despite warnings from regulators investors in s'pore rush to scoop up cryptocurrency	1
2017-12-01	bitcoin plunges by 20 per cent - this is why and what it means;  bitcoin was trading near 11800 (£8736) on wednesday	1
2017-09-05	bitcoin plunges on regulatory warning by china	1
2018-02-12	bitcoin price above $8000: what's in store for future?;  bitcoin price above $8000: what's in store for future?-- delivered by feed43 service	1
2018-02-06	bitcoin price below $6000: reaches lowest in three months where is it headed now?;  bitcoin price below $6000: reaches lowest in three months where is it headed now?-- delivered by feed43 service	1
2017-11-10	bitcoin price falls back from latest record high after split suspended	0
2018-01-16	bitcoin price plunges as south korea say cryptocurrency ban 'still a real possibility'	0
2018-02-14	bitcoin price remains above $8500 in india today; slow recovery follows big plunge;  bitcoin price remains above $8500 in india today; slow recovery follows big plunge-- delivered by feed43 service	1
2018-02-14	bitcoin price rises after ecb rules out ban on cryptocurrencies	1
2017-01-13	bitcoin price slides as officials inspect local exchange	1
2017-12-04	bitcoin price surges back; thinking of buying? here's what you need to know	1
2018-02-15	bitcoin price: usd value 'set to reach $10000 for the first time in weeks'	1
2017-05-26	bitcoin prices break through $2700 to record all-time highs	0
2017-11-16	bitcoin prices climb back over $7000 after tumultuous week	1
2017-09-14	bitcoin prices fall as ico ban forces bitkan to halt over-the-counter trading	1
2018-02-05	bitcoin prices tumble below $7300	0
2018-02-21	bitcoin provider is updated to boost the cryptocurrency	0
2018-02-05	bitcoin puzzle worth £35000 solved by programmer after nearly three years	0
2017-12-01	bitcoin rally turning many naysayers into belivers	1
2018-02-19	bitcoin reaches us $ 11000 on its fourth day to the upside	1
2017-12-01	bitcoin rebounds to $10500 after us regulator approves futures	1
2017-12-07	bitcoin rises above us$14000 on bitstamp to record high	1
